num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.89,2.67,59.63,2.72
2,200,300,200,200,3,0.9,2.67,58.96,2.68
2,200,300,300,200,1,1.14,2.68,69.83,3.18
2,200,300,300,200,2,1.38,2.68,57.68,2.63
2,200,300,300,200,3,1.28,2.68,62.19,2.83
2,200,400,200,200,1,1.1,2.67,64.32,2.93
2,200,400,200,200,2,1.12,2.67,63.18,2.88
2,200,400,200,200,3,1.16,2.67,61.0,2.78
2,200,400,300,200,1,1.66,2.68,63.94,2.91
2,200,400,300,200,2,1.95,2.68,54.43,2.48
2,200,400,300,200,3,1.78,2.68,59.63,2.72
