space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,8,32,64,256,256,256,256,1,0.88,2.68,107.8,4.9
2,8,32,64,256,256,256,256,2,0.88,2.68,107.8,4.9
2,8,32,64,256,512,256,256,1,1.71,2.69,110.95,5.05
2,8,32,64,256,512,256,256,2,1.71,2.69,110.95,5.05
2,8,32,64,256,256,512,256,1,1.74,2.69,109.04,4.96
2,8,32,64,256,256,512,256,2,1.72,2.69,110.31,5.02
2,8,32,64,256,512,512,512,1,6.18,2.71,122.8,5.59
2,8,32,64,256,512,512,512,2,6.16,2.71,123.2,5.6
2,8,32,64,512,256,256,256,1,1.74,2.69,108.83,4.95
2,8,32,64,512,256,256,256,2,1.74,2.69,108.83,4.95
2,8,64,32,256,256,256,256,1,0.9,2.68,105.4,4.8
2,8,64,32,256,256,256,256,2,0.9,2.68,105.4,4.8
2,8,64,32,256,512,256,256,1,1.75,2.69,108.41,4.93
2,8,64,32,256,512,256,256,2,1.76,2.69,107.8,4.9
2,8,64,32,256,256,512,256,1,1.77,2.69,107.19,4.88
2,8,64,32,256,256,512,256,2,1.78,2.69,106.59,4.85
2,8,64,32,256,512,512,512,1,6.24,2.71,121.62,5.53
2,8,64,32,256,512,512,512,2,6.38,2.71,118.95,5.41
2,8,64,32,512,256,256,256,1,1.75,2.69,108.2,4.92
2,8,64,32,512,256,256,256,2,1.78,2.69,106.38,4.84
2,8,64,64,256,256,256,256,1,0.78,2.68,121.62,5.53
2,8,64,64,256,256,256,256,2,0.78,2.68,121.62,5.53
2,8,64,64,256,512,256,256,1,1.53,2.69,124.0,5.64
2,8,64,64,256,512,256,256,2,1.55,2.69,122.4,5.57
2,8,64,64,256,256,512,256,1,1.51,2.69,125.65,5.72
2,8,64,64,256,256,512,256,2,1.51,2.69,125.65,5.72
2,8,64,64,256,512,512,512,1,5.58,2.71,136.0,6.19
2,8,64,64,256,512,512,512,2,5.58,2.71,136.0,6.19
2,8,64,64,512,256,256,256,1,1.55,2.69,122.16,5.56
2,8,64,64,512,256,256,256,2,1.56,2.69,121.38,5.52
2,8,64,96,256,256,256,256,1,0.75,2.68,126.48,5.75
2,8,64,96,256,256,256,256,2,0.74,2.68,128.19,5.83
2,8,64,96,256,512,256,256,1,1.47,2.69,129.06,5.87
2,8,64,96,256,512,256,256,2,1.47,2.69,129.06,5.87
2,8,64,96,256,256,512,256,1,1.45,2.69,130.84,5.95
2,8,64,96,256,256,512,256,2,1.44,2.69,131.75,5.99
2,8,64,96,256,512,512,512,1,6.43,2.71,118.02,5.37
2,8,64,96,256,512,512,512,2,5.74,2.71,132.21,6.01
2,8,64,96,512,256,256,256,1,1.46,2.69,129.7,5.9
2,8,64,96,512,256,256,256,2,1.47,2.69,128.81,5.86
2,8,96,64,256,256,256,256,1,0.73,2.68,129.95,5.91
2,8,96,64,256,256,256,256,2,0.73,2.68,129.95,5.91
2,8,96,64,256,512,256,256,1,1.42,2.69,133.61,6.08
2,8,96,64,256,512,256,256,2,1.42,2.69,133.61,6.08
2,8,96,64,256,256,512,256,1,1.44,2.69,131.75,5.99
2,8,96,64,256,256,512,256,2,1.44,2.69,131.75,5.99
2,8,96,64,256,512,512,512,1,5.64,2.71,134.56,6.12
2,8,96,64,256,512,512,512,2,5.64,2.71,134.56,6.12
2,8,96,64,512,256,256,256,1,1.45,2.69,130.59,5.94
2,8,96,64,512,256,256,256,2,1.45,2.69,130.59,5.94
2,8,96,96,256,256,256,256,1,0.71,2.68,133.61,6.08
2,8,96,96,256,256,256,256,2,0.71,2.68,133.61,6.08
2,8,96,96,256,512,256,256,1,1.51,2.69,125.65,5.72
2,8,96,96,256,512,256,256,2,1.43,2.69,132.67,6.04
2,8,96,96,256,256,512,256,1,1.5,2.69,126.48,5.75
2,8,96,96,256,256,512,256,2,1.43,2.69,132.67,6.04
2,8,96,96,256,512,512,512,1,8.31,2.71,91.32,4.16
2,8,96,96,256,512,512,512,2,8.31,2.71,91.32,4.16
2,8,96,96,512,256,256,256,1,1.41,2.69,134.29,6.11
2,8,96,96,512,256,256,256,2,1.41,2.69,134.29,6.11
2,16,32,32,256,256,256,256,1,0.92,2.68,103.11,4.69
2,16,32,32,256,256,256,256,2,0.92,2.68,103.11,4.69
2,16,32,32,256,512,256,256,1,1.77,2.69,107.19,4.88
2,16,32,32,256,512,256,256,2,1.76,2.69,107.8,4.9
2,16,32,32,256,256,512,256,1,1.76,2.69,107.8,4.9
2,16,32,32,256,256,512,256,2,1.77,2.69,107.19,4.88
2,16,32,32,256,512,512,512,1,6.19,2.71,122.6,5.58
2,16,32,32,256,512,512,512,2,6.28,2.71,120.84,5.5
2,16,32,32,512,256,256,256,1,1.82,2.69,104.04,4.73
2,16,32,32,512,256,256,256,2,1.82,2.69,104.04,4.73
2,16,32,64,256,256,256,256,1,0.86,2.68,110.31,5.02
2,16,32,64,256,256,256,256,2,0.86,2.68,110.31,5.02
2,16,32,64,256,512,256,256,1,1.65,2.69,114.98,5.23
2,16,32,64,256,512,256,256,2,1.65,2.69,114.98,5.23
2,16,32,64,256,256,512,256,1,1.69,2.69,112.26,5.11
2,16,32,64,256,256,512,256,2,1.69,2.69,112.26,5.11
2,16,32,64,256,512,512,512,1,5.63,2.71,134.79,6.13
2,16,32,64,256,512,512,512,2,5.73,2.71,132.44,6.02
2,16,32,64,512,256,256,256,1,1.71,2.69,110.73,5.04
2,16,32,64,512,256,256,256,2,1.72,2.69,110.09,5.01
2,16,64,32,256,256,256,256,1,0.88,2.68,107.8,4.9
2,16,64,32,256,256,256,256,2,0.85,2.68,111.6,5.08
2,16,64,32,256,512,256,256,1,1.62,2.69,117.11,5.33
2,16,64,32,256,512,256,256,2,1.66,2.69,114.29,5.2
2,16,64,32,256,256,512,256,1,1.74,2.69,109.04,4.96
2,16,64,32,256,256,512,256,2,1.68,2.69,112.93,5.14
2,16,64,32,256,512,512,512,1,5.7,2.71,133.14,6.06
2,16,64,32,256,512,512,512,2,5.76,2.71,131.75,5.99
2,16,64,32,512,256,256,256,1,1.7,2.69,111.39,5.07
2,16,64,32,512,256,256,256,2,1.7,2.69,111.39,5.07
2,16,64,64,256,256,256,256,1,0.73,2.68,129.95,5.91
2,16,64,64,256,256,256,256,2,0.73,2.68,129.95,5.91
2,16,64,64,256,512,256,256,1,1.41,2.69,134.56,6.12
2,16,64,64,256,512,256,256,2,1.44,2.69,131.75,5.99
2,16,64,64,256,256,512,256,1,1.41,2.69,134.56,6.12
2,16,64,64,256,256,512,256,2,1.39,2.69,136.49,6.21
2,16,64,64,256,512,512,512,1,5.08,2.71,149.39,6.8
2,16,64,64,256,512,512,512,2,5.01,2.71,151.48,6.89
2,16,64,64,512,256,256,256,1,1.45,2.69,130.59,5.94
2,16,64,64,512,256,256,256,2,1.45,2.69,130.59,5.94
2,16,64,96,256,256,256,256,1,0.67,2.68,141.58,6.44
2,16,64,96,256,256,256,256,2,0.67,2.68,141.58,6.44
2,16,64,96,256,512,256,256,1,1.32,2.69,143.73,6.54
