space_order,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,256,512,512,512,1,10.61,2.71,71.53,3.26
2,256,512,512,512,2,10.45,2.71,72.62,3.31
2,256,512,512,512,3,10.46,2.71,72.55,3.3
4,256,512,512,512,1,10.82,3.41,89.27,3.19
4,256,512,512,512,2,10.82,3.41,89.27,3.19
4,256,512,512,512,3,10.81,3.41,89.35,3.2
8,256,512,512,512,1,13.9,5.47,114.16,2.49
8,256,512,512,512,2,13.24,5.47,119.85,2.61
8,256,512,512,512,3,13.55,5.47,117.11,2.55
