num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.68,3.27,99.32,3.55
2,200,300,200,200,2,0.68,3.27,99.32,3.55
2,200,300,200,200,3,0.68,3.27,99.32,3.55
2,200,300,300,200,1,1.0,3.29,101.31,3.62
2,200,300,300,200,2,1.0,3.29,101.31,3.62
2,200,300,300,200,3,1.0,3.29,101.31,3.62
2,200,400,200,200,1,0.84,3.29,107.2,3.83
2,200,400,200,200,2,0.84,3.29,107.2,3.83
2,200,400,200,200,3,0.84,3.29,107.2,3.83
2,200,400,300,200,1,1.23,3.31,109.82,3.93
2,200,400,300,200,2,1.24,3.31,108.93,3.9
2,200,400,300,200,3,1.24,3.31,108.93,3.9
