num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,256,256,256,256,1,0.78,2.66,121.62,5.53,0.12752599999999994
2,256,256,256,256,2,0.78,2.66,121.62,5.53,0.12191799999999993
2,256,256,256,256,3,0.78,2.66,121.62,5.53,0.1310080000000001
2,256,256,512,256,1,1.54,2.67,123.2,5.6,0.2440829999999998
2,256,256,512,256,2,1.55,2.67,122.4,5.57,0.24492099999999978
2,256,256,512,256,3,1.54,2.67,123.2,5.6,0.24713399999999988
2,256,512,256,256,1,1.42,2.68,133.61,6.08,0.12355999999999993
2,256,512,256,256,2,1.43,2.68,132.67,6.04,0.1341159999999999
2,256,512,256,256,3,1.42,2.68,133.61,6.08,0.11622499999999983
2,256,512,512,256,1,2.85,2.69,133.14,6.06,0.24840500000000004
2,256,512,512,256,2,2.83,2.69,134.08,6.1,0.2525839999999999
2,256,512,512,256,3,2.84,2.69,133.61,6.08,0.25404799999999983
