num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.57,2.65,93.1,4.24
2,200,300,200,200,2,0.57,2.65,93.1,4.24
2,200,300,200,200,3,0.57,2.65,93.1,4.24
2,200,300,300,200,1,0.85,2.66,93.65,4.26
2,200,300,300,200,2,0.85,2.66,93.65,4.26
2,200,300,300,200,3,0.85,2.66,93.65,4.26
2,200,400,200,200,1,0.7,2.66,101.08,4.6
2,200,400,200,200,2,0.69,2.66,102.54,4.67
2,200,400,200,200,3,0.7,2.66,101.08,4.6
2,200,400,300,200,1,1.04,2.67,102.05,4.64
2,200,400,300,200,2,1.03,2.67,103.04,4.69
2,200,400,300,200,3,1.03,2.67,103.04,4.69
