num_ranks,space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
4,2,4,16,16,256,256,256,256,1,0.88,2.64,107.8,4.9,0.054367
4,2,4,16,16,256,256,256,256,2,0.86,2.64,110.31,5.02,0.07999100000000002
4,2,4,16,32,256,256,256,256,1,0.82,2.64,115.69,5.26,0.329661
4,2,4,16,32,256,256,256,256,2,0.84,2.64,112.93,5.14,0.330146
4,2,4,16,64,256,256,256,256,1,0.57,2.64,166.42,7.57,0.050473
4,2,4,16,64,256,256,256,256,2,0.56,2.64,169.39,7.7,0.07772699999999998
4,2,4,16,96,256,256,256,256,1,0.58,2.64,163.55,7.44,0.1443659999999999
4,2,4,16,96,256,256,256,256,2,0.58,2.64,163.55,7.44,0.07983599999999999
4,2,4,16,128,256,256,256,256,1,0.56,2.64,169.39,7.7,0.06854500000000002
4,2,4,16,128,256,256,256,256,2,0.56,2.64,169.39,7.7,0.080641
4,2,4,16,196,256,256,256,256,1,0.52,2.64,182.42,8.3,0.09046200000000001
4,2,4,16,196,256,256,256,256,2,0.53,2.64,178.98,8.14,0.07403799999999998
4,2,4,16,256,256,256,256,256,1,0.52,2.64,182.42,8.3,0.09151599999999997
4,2,4,16,256,256,256,256,256,2,0.53,2.64,178.98,8.14,0.08245499999999999
4,2,4,32,16,256,256,256,256,1,0.83,2.64,114.29,5.2,0.295338
4,2,4,32,16,256,256,256,256,2,0.58,2.64,163.55,7.44,0.07094
4,2,4,32,32,256,256,256,256,1,0.56,2.64,169.39,7.7,0.07412899999999997
4,2,4,32,32,256,256,256,256,2,0.55,2.64,172.47,7.84,0.10469799999999997
4,2,4,32,64,256,256,256,256,1,0.55,2.64,172.47,7.84,0.07469399999999997
4,2,4,32,64,256,256,256,256,2,0.55,2.64,172.47,7.84,0.074246
4,2,4,32,96,256,256,256,256,1,0.53,2.64,178.98,8.14,0.08379100000000003
4,2,4,32,96,256,256,256,256,2,0.53,2.64,178.98,8.14,0.08643500000000001
4,2,4,32,128,256,256,256,256,1,0.52,2.64,182.42,8.3,0.08017600000000001
4,2,4,32,128,256,256,256,256,2,0.53,2.64,178.98,8.14,0.09081900000000004
4,2,4,32,196,256,256,256,256,1,0.51,2.64,186.0,8.46,0.08005799999999995
4,2,4,32,196,256,256,256,256,2,0.53,2.64,178.98,8.14,0.08442200000000002
4,2,4,32,256,256,256,256,256,1,0.52,2.64,182.42,8.3,0.07885
4,2,4,32,256,256,256,256,256,2,0.51,2.64,186.0,8.46,0.09230200000000001
4,2,4,64,16,256,256,256,256,1,0.61,2.64,155.51,7.07,0.100724
4,2,4,64,16,256,256,256,256,2,0.61,2.64,155.51,7.07,0.106026
4,2,4,64,32,256,256,256,256,1,0.56,2.64,169.39,7.7,0.10103599999999999
4,2,4,64,32,256,256,256,256,2,0.52,2.64,182.42,8.3,0.09480100000000001
4,2,4,64,64,256,256,256,256,1,0.52,2.64,182.42,8.3,0.08127499999999999
4,2,4,64,64,256,256,256,256,2,0.53,2.64,178.98,8.14,0.09324999999999999
4,2,4,64,96,256,256,256,256,1,0.53,2.64,178.98,8.14,0.09302399999999998
4,2,4,64,96,256,256,256,256,2,0.53,2.64,178.98,8.14,0.09072399999999999
4,2,4,64,128,256,256,256,256,1,0.66,2.64,143.73,6.54,0.12663299999999997
4,2,4,64,128,256,256,256,256,2,0.65,2.64,145.94,6.64,0.089148
4,2,4,64,196,256,256,256,256,1,0.65,2.64,145.94,6.64,0.09222800000000002
4,2,4,64,196,256,256,256,256,2,0.64,2.64,148.22,6.74,0.075921
4,2,4,64,256,256,256,256,256,1,0.65,2.64,145.94,6.64,0.10977100000000006
4,2,4,64,256,256,256,256,256,2,0.64,2.64,148.22,6.74,0.06569100000000001
4,2,4,96,16,256,256,256,256,1,0.62,2.64,153.0,6.96,0.07529000000000001
4,2,4,96,16,256,256,256,256,2,0.62,2.64,153.0,6.96,0.08263900000000003
4,2,4,96,32,256,256,256,256,1,0.52,2.64,182.42,8.3,0.08555999999999997
4,2,4,96,32,256,256,256,256,2,0.51,2.64,186.0,8.46,0.07934800000000002
4,2,4,96,64,256,256,256,256,1,0.54,2.64,175.67,7.99,0.08732399999999998
4,2,4,96,64,256,256,256,256,2,0.54,2.64,175.67,7.99,0.08160300000000001
4,2,4,96,96,256,256,256,256,1,0.58,2.64,163.55,7.44,0.075267
4,2,4,96,96,256,256,256,256,2,0.58,2.64,163.55,7.44,0.08385700000000001
4,2,4,96,128,256,256,256,256,1,0.65,2.64,145.94,6.64,0.07070900000000001
4,2,4,96,128,256,256,256,256,2,0.72,2.64,131.75,5.99,0.05399099999999999
4,2,4,96,196,256,256,256,256,1,0.69,2.64,137.48,6.25,0.125791
4,2,4,96,196,256,256,256,256,2,0.64,2.64,148.22,6.74,0.08678200000000003
4,2,4,96,256,256,256,256,256,1,0.64,2.64,148.22,6.74,0.08354300000000002
4,2,4,96,256,256,256,256,256,2,0.65,2.64,145.94,6.64,0.07191299999999999
