num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,256,256,256,256,1,0.72,3.28,167.68,5.99,0.11169999999999998
2,256,256,256,256,2,0.72,3.28,167.68,5.99,0.14608699999999994
2,256,256,256,256,3,0.72,3.28,167.68,5.99,0.112652
2,256,256,512,256,1,1.44,3.31,167.68,5.99,0.261896
2,256,256,512,256,2,1.37,3.31,176.25,6.3,0.24674399999999996
2,256,256,512,256,3,1.38,3.31,174.97,6.25,0.20745099999999997
2,256,512,256,256,1,1.25,3.33,193.17,6.9,0.15387
2,256,512,256,256,2,1.24,3.33,194.73,6.96,0.11211400000000003
2,256,512,256,256,3,1.24,3.33,194.73,6.96,0.15205099999999996
2,256,512,512,256,1,2.48,3.36,194.73,6.96,0.29501
2,256,512,512,256,2,2.44,3.36,197.92,7.07,0.2326000000000001
2,256,512,512,256,3,2.47,3.36,195.52,6.99,0.29972099999999996
