num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,256,256,256,256,1,1.49,5.07,133.12,2.9,0.250887
2,256,256,256,256,2,1.49,5.07,133.12,2.9,0.27370099999999997
2,256,256,256,256,3,1.5,5.07,132.23,2.88,0.271671
2,256,256,512,256,1,2.89,5.15,137.26,2.99,0.45788400000000007
2,256,256,512,256,2,2.95,5.15,134.47,2.93,0.5222789999999999
2,256,256,512,256,3,2.91,5.15,136.32,2.97,0.51193
2,256,512,256,256,1,2.56,5.23,154.96,3.37,0.299106
2,256,512,256,256,2,2.59,5.23,153.16,3.33,0.2526609999999999
2,256,512,256,256,3,2.56,5.23,154.96,3.37,0.26254700000000003
2,256,512,512,256,1,5.07,5.31,156.49,3.41,0.5393490000000001
2,256,512,512,256,2,5.0,5.31,158.68,3.45,0.5545430000000002
2,256,512,512,256,3,5.0,5.31,158.68,3.45,0.5464109999999999
