num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,0.95,3.31,71.1,2.54
2,200,300,200,200,3,0.95,3.31,71.1,2.54
2,200,300,300,200,1,1.44,3.33,70.36,2.52
2,200,300,300,200,2,1.33,3.33,76.17,2.73
2,200,300,300,200,3,1.34,3.33,75.6,2.7
2,200,400,200,200,1,1.22,3.32,73.81,2.64
2,200,400,200,200,2,1.22,3.32,73.81,2.64
2,200,400,200,200,3,1.27,3.32,70.91,2.54
2,200,400,300,200,1,1.76,3.34,76.75,2.75
2,200,400,300,200,2,1.82,3.34,74.22,2.66
2,200,400,300,200,3,1.88,3.34,71.85,2.57
