num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1,0.44,2.65,120.6,5.49
2,200,300,200,200,2,0.44,2.65,120.6,5.49
2,200,300,200,200,3,0.44,2.65,120.6,5.49
2,200,300,300,200,1,0.64,2.66,124.37,5.66
2,200,300,300,200,2,0.64,2.66,124.37,5.66
2,200,300,300,200,3,0.64,2.66,124.37,5.66
2,200,400,200,200,1,0.57,2.66,124.13,5.65
2,200,400,200,200,2,0.55,2.66,128.64,5.85
2,200,400,200,200,3,0.58,2.66,121.99,5.55
2,200,400,300,200,1,0.82,2.67,129.43,5.89
2,200,400,300,200,2,0.82,2.67,129.43,5.89
2,200,400,300,200,3,0.82,2.67,129.43,5.89
