num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,256,256,256,256,1,0.38,2.66,249.63,11.35,0.05896799999999999
2,256,256,256,256,2,0.38,2.66,249.63,11.35,0.06839400000000001
2,256,256,256,256,3,0.38,2.66,249.63,11.35,0.060357
2,256,256,512,256,1,0.76,2.67,249.63,11.35,0.14024899999999998
2,256,256,512,256,2,0.75,2.67,252.96,11.5,0.129109
2,256,256,512,256,3,0.76,2.67,249.63,11.35,0.128091
2,256,512,256,256,1,0.69,2.68,274.96,12.5,0.08456
2,256,512,256,256,2,0.68,2.68,279.0,12.69,0.06521999999999997
2,256,512,256,256,3,0.67,2.68,283.16,12.88,0.05650499999999999
2,256,512,512,256,1,1.34,2.69,283.16,12.88,0.143736
2,256,512,512,256,2,1.35,2.69,281.07,12.78,0.13184200000000007
2,256,512,512,256,3,1.36,2.69,279.0,12.69,0.152951
