2,200,300,200,200,1,0.83,2.65,63.94,2.91
2,200,300,200,200,2,0.52,2.65,102.05,4.64
2,200,300,200,200,3,0.52,2.65,102.05,4.64
2,200,300,300,200,1,1.32,2.66,60.3,2.75
2,200,300,300,200,2,1.24,2.66,64.2,2.92
2,200,300,300,200,3,1.29,2.66,61.71,2.81
2,200,400,200,200,1,1.09,2.66,64.92,2.96
2,200,400,200,200,2,1.1,2.66,64.32,2.93
2,200,400,200,200,3,0.64,2.66,110.55,5.03
2,200,400,300,200,1,1.63,2.67,65.11,2.96
2,200,400,300,200,2,1.67,2.67,63.55,2.89
2,200,400,300,200,3,1.7,2.67,62.43,2.84
4,200,300,200,200,1,1.09,2.63,48.69,2.22
4,200,300,200,200,2,1.12,2.63,47.38,2.16
4,200,300,200,200,3,1.09,2.63,48.69,2.22
4,200,300,300,200,1,1.18,2.64,67.46,3.07
4,200,300,300,200,2,1.77,2.64,44.97,2.05
4,200,300,300,200,3,1.22,2.64,65.25,2.97
4,200,400,200,200,1,1.35,2.63,52.41,2.39
4,200,400,200,200,2,1.1,2.63,64.32,2.93
4,200,400,200,200,3,1.13,2.63,62.62,2.85
4,200,400,300,200,1,1.54,2.65,68.92,3.14
4,200,400,300,200,2,1.52,2.65,69.83,3.18
4,200,400,300,200,3,1.75,2.65,60.65,2.76
