num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,200,300,200,200,1,0.59,5.03,188.06,4.09,0.136601
2,200,300,200,200,2,0.59,5.03,188.06,4.09,0.12588300000000005
2,200,300,200,200,3,0.59,5.03,188.06,4.09,0.12786599999999998
2,200,300,300,200,1,0.84,5.09,198.13,4.31,0.18719999999999995
2,200,300,300,200,2,0.83,5.09,200.52,4.36,0.18027100000000004
2,200,300,300,200,3,0.84,5.09,198.13,4.31,0.17591200000000007
2,200,400,200,200,1,0.7,5.09,211.34,4.6,0.11475699999999994
2,200,400,200,200,2,0.72,5.09,205.47,4.47,0.12471600000000004
2,200,400,200,200,3,0.71,5.09,208.37,4.53,0.12229399999999997
2,200,400,300,200,1,1.04,5.16,213.37,4.64,0.171327
2,200,400,300,200,2,1.04,5.16,213.37,4.64,0.17167700000000005
2,200,400,300,200,3,1.05,5.16,211.34,4.6,0.17255700000000004
