num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,200,300,200,200,1
2,200,300,200,200,2,1.4,5.16,79.26,1.73
2,200,300,200,200,3,1.3,5.16,85.35,1.86
2,200,300,300,200,1,1.98,5.22,84.06,1.83
2,200,300,300,200,2,1.89,5.22,88.06,1.92
2,200,300,300,200,3,1.88,5.22,88.53,1.93
2,200,400,200,200,1,1.64,5.19,90.21,1.97
2,200,400,200,200,2,2.01,5.19,73.61,1.61
2,200,400,200,200,3,1.57,5.19,94.23,2.05
2,200,400,300,200,1,2.57,5.26,86.35,1.88
2,200,400,300,200,2,2.57,5.26,86.35,1.88
2,200,400,300,200,3,2.05,5.26,108.25,2.36
