num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,5000,32,32,32,1,0.42,2.46,17.95,0.4,0.319617000000009
2,5000,32,32,32,2,0.42,2.46,17.95,0.4,0.3182080000000069
2,5000,32,32,32,3,0.42,2.46,17.95,0.4,0.3111710000000076
2,5000,32,64,32,1,0.58,2.73,26.0,0.57,0.4719620000000085
2,5000,32,64,32,2,0.58,2.73,26.0,0.57,0.47575400000000156
2,5000,32,64,32,3,0.59,2.73,25.56,0.56,0.48009100000000815
2,5000,64,32,32,1,0.44,2.95,34.27,0.75,0.33296100000001044
2,5000,64,32,32,2,0.46,2.95,32.78,0.72,0.3482980000000089
2,5000,64,32,32,3,0.44,2.95,34.27,0.75,0.333924000000012
2,5000,64,64,32,1,0.69,3.28,43.7,0.95,0.4736689999999995
2,5000,64,64,32,2,0.68,3.28,44.35,0.97,0.4979870000000001
2,5000,64,64,32,3,0.68,3.28,44.35,0.97,0.46131399999999395
