num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
2,5000,32,32,32,1
2,5000,32,32,32,2,0.1,2.95,75.39,1.64
2,5000,32,32,32,3,0.11,2.95,68.53,1.49
2,5000,32,64,32,1,0.18,3.28,83.76,1.83
2,5000,32,64,32,2,0.18,3.28,83.76,1.83
2,5000,32,64,32,3,0.18,3.28,83.76,1.83
2,5000,64,32,32,1,0.2,3.28,75.39,1.64
2,5000,64,32,32,2,0.18,3.28,83.76,1.83
2,5000,64,32,32,3,0.21,3.28,71.8,1.57
2,5000,64,64,32,1,0.32,3.64,94.23,2.05
2,5000,64,64,32,2,0.32,3.64,94.23,2.05
2,5000,64,64,32,3,0.32,3.64,94.23,2.05
