num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,5000,32,32,32,1,0.11,2.17,32.78,1.49,0.06261800000000264
2,5000,32,32,32,2,0.11,2.17,32.78,1.49,0.06282200000000016
2,5000,32,32,32,3,0.11,2.17,32.78,1.49,0.06963099999999954
2,5000,32,64,32,1,0.13,2.24,55.47,2.53,0.07939600000000205
2,5000,32,64,32,2,0.13,2.24,55.47,2.53,0.07440000000000184
2,5000,32,64,32,3,0.13,2.24,55.47,2.53,0.07755000000000216
2,5000,64,32,32,1,0.12,2.3,60.09,2.74,0.06339500000000241
2,5000,64,32,32,2,0.12,2.3,60.09,2.74,0.06561499999999869
2,5000,64,32,32,3,0.12,2.3,60.09,2.74,0.06581799999999853
2,5000,64,64,32,1,0.16,2.37,90.14,4.1,0.08035200000000199
2,5000,64,64,32,2,0.16,2.37,90.14,4.1,0.08675599999999936
2,5000,64,64,32,3,0.15,2.37,96.14,4.37,0.07856100000000289
