num_ranks,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss,haloupdate0
2,5000,32,32,32,1,0.27,2.22,17.0,0.61,0.20463200000001597
2,5000,32,32,32,2,0.23,2.22,19.95,0.72,0.17711800000000966
2,5000,32,32,32,3,0.28,2.22,16.39,0.59,0.2257880000000125
2,5000,32,64,32,1,0.3,2.35,30.59,1.1,0.2419169999999843
2,5000,32,64,32,2,0.31,2.35,29.61,1.06,0.2347759999999839
2,5000,32,64,32,3,0.3,2.35,30.59,1.1,0.23876399999998674
2,5000,64,32,32,1,0.24,2.46,38.24,1.37,0.18460200000000732
2,5000,64,32,32,2,0.25,2.46,36.71,1.32,0.18546800000000813
2,5000,64,32,32,3,0.25,2.46,36.71,1.32,0.1817420000000046
2,5000,64,64,32,1,0.35,2.61,52.44,1.88,0.2565729999999857
2,5000,64,64,32,2,0.34,2.61,53.99,1.93,0.2414179999999852
2,5000,64,64,32,3,0.34,2.61,53.99,1.93,0.23897699999998598
